id,day,from,to
244597,20241021,08:15,21:30
244597,20241022,08:15,21:30
244597,20241023,08:15,21:30
244597,20241024,08:15,21:30
244597,20241025,08:15,21:30
244597,20241026,08:15,21:30
244597,20241027,08:15,21:30
244598,20241021,08:15,21:30
244598,20241022,08:15,21:30
244598,20241023,08:15,21:30
244598,20241024,08:15,21:30
244598,20241025,08:15,21:30
244598,20241026,08:15,21:30
244598,20241027,08:15,21:30
244599,20241021,08:15,21:30
244599,20241022,08:15,21:30
244599,20241023,08:15,21:30
244599,20241024,08:15,21:30
244599,20241025,08:15,21:30
244599,20241026,08:15,21:30
244599,20241027,08:15,21:30
244600,20241021,08:15,21:30
244600,20241022,08:15,21:30
244600,20241023,08:15,21:30
244600,20241024,08:15,21:30
244600,20241025,08:15,21:30
244600,20241026,08:15,21:30
244600,20241027,08:15,21:30
244544,20241021,08:15,21:30
244544,20241022,08:15,21:30
244544,20241023,08:15,21:30
244544,20241024,08:15,21:30
244544,20241025,08:15,21:30
244544,20241026,08:15,21:30
244544,20241027,08:15,21:30
244545,20241021,08:15,21:30
244545,20241022,08:15,21:30
244545,20241023,08:15,21:30
244545,20241024,08:15,21:30
244545,20241025,08:15,21:30
244545,20241026,08:15,21:30
244545,20241027,08:15,21:30
244546,20241021,08:15,21:30
244546,20241022,08:15,21:30
244546,20241023,08:15,21:30
244546,20241024,08:15,21:30
244546,20241025,08:15,21:30
244546,20241026,08:15,21:30
244546,20241027,08:15,21:30
244547,20241021,08:15,21:30
244547,20241022,08:15,21:30
244547,20241023,08:15,21:30
244547,20241024,08:15,21:30
244547,20241025,08:15,21:30
244547,20241026,08:15,21:30
244547,20241027,08:15,21:30
244548,20241021,08:15,21:30
244548,20241022,08:15,21:30
244548,20241023,08:15,21:30
244548,20241024,08:15,21:30
244548,20241025,08:15,21:30
244548,20241026,08:15,21:30
244548,20241027,08:15,21:30
244549,20241021,08:15,21:30
244549,20241022,08:15,21:30
244549,20241023,08:15,21:30
244549,20241024,08:15,21:30
244549,20241025,08:15,21:30
244549,20241026,08:15,21:30
244549,20241027,08:15,21:30
244550,20241021,08:15,21:30
244550,20241022,08:15,21:30
244550,20241023,08:15,21:30
244550,20241024,08:15,21:30
244550,20241025,08:15,21:30
244550,20241026,08:15,21:30
244550,20241027,08:15,21:30
244551,20241021,08:15,21:30
244551,20241022,08:15,21:30
244551,20241023,08:15,21:30
244551,20241024,08:15,21:30
244551,20241025,08:15,21:30
244551,20241026,08:15,21:30
244551,20241027,08:15,21:30
244552,20241021,08:15,21:30
244552,20241022,08:15,21:30
244552,20241023,08:15,21:30
244552,20241024,08:15,21:30
244552,20241025,08:15,21:30
244552,20241026,08:15,21:30
244552,20241027,08:15,21:30
244553,20241021,08:15,21:30
244553,20241022,08:15,21:30
244553,20241023,08:15,21:30
244553,20241024,08:15,21:30
244553,20241025,08:15,21:30
244553,20241026,08:15,21:30
244553,20241027,08:15,21:30
244554,20241021,08:15,21:30
244554,20241022,08:15,21:30
244554,20241023,08:15,21:30
244554,20241024,08:15,21:30
244554,20241025,08:15,21:30
244554,20241026,08:15,21:30
244554,20241027,08:15,21:30
244555,20241021,08:15,21:30
244555,20241022,08:15,21:30
244555,20241023,08:15,21:30
244555,20241024,08:15,21:30
244555,20241025,08:15,21:30
244555,20241026,08:15,21:30
244555,20241027,08:15,21:30
244556,20241021,08:15,21:30
244556,20241022,08:15,21:30
244556,20241023,08:15,21:30
